"Year","Month","MeanLive","MeanRedd","Date"
1973,9,6,5.5,"1973-09-01"
1973,10,8.66666666666667,5.46103896103896,"1973-10-01"
1973,11,8.84108527131783,4.94725913621263,"1973-11-01"
1973,12,0.409090909090909,4.26594516594517,"1973-12-01"
1974,1,1.66666666666667,2,"1974-01-01"
1974,8,165,1.125,"1974-08-01"
1974,9,172.357142857143,4.09821428571428,"1974-09-01"
1974,10,7.86559139784946,34.6350806451613,"1974-10-01"
1974,11,13.6131386861314,1.72976480129765,"1974-11-01"
1974,12,17.439,1.39795555555556,"1974-12-01"
1975,1,26.4585987261147,1.62090929057764,"1975-01-01"
1975,2,16.5555555555556,0.590038314176245,"1975-02-01"
1975,3,42,0.413793103448276,"1975-03-01"
1975,9,12.7704918032787,0,"1975-09-01"
1975,10,12.6321428571429,2.21166666666667,"1975-10-01"
1975,11,8.8027397260274,5.9384703196347,"1975-11-01"
1975,12,2.44516016713092,2.33853888855963,"1975-12-01"
1976,1,0.353737113402062,1.18973459091906,"1976-01-01"
1976,2,0,0.716312056737589,"1976-02-01"
1976,9,407.746124031008,0,"1976-09-01"
1976,10,271.562957510326,12.223997055576,"1976-10-01"
1976,11,0.66527446300717,17.7837708830549,"1976-11-01"
1976,12,34.7407777143941,31.3543069024531,"1976-12-01"
1977,1,26.1307317073171,4.64162601626015,"1977-01-01"
1977,2,77.963963963964,1.87837837837838,"1977-02-01"
1977,3,1.25,0.0625,"1977-03-01"
1977,9,39.0489361702128,19.5141843971631,"1977-09-01"
1977,10,7.34708333333334,37.4037692307692,"1977-10-01"
1977,11,26.4798644338118,93.231567774331,"1977-11-01"
1977,12,13.9378600823045,34.4545764655504,"1977-12-01"
1978,1,33.9308978873239,13.6016795215739,"1978-01-01"
1978,2,4.91282051282051,6.92087912087912,"1978-02-01"
1978,9,17.6875,3.5609375,"1978-09-01"
1978,10,19.8853211009174,16.2921763506626,"1978-10-01"
1978,11,25.7718855218856,19.3945379723157,"1978-11-01"
1978,12,9.80025662959786,9.07819870463152,"1978-12-01"
1979,1,19.3813559322034,32.9585687382297,"1979-01-01"
1979,2,31.5714285714286,20.4285714285714,"1979-02-01"
1979,3,3,3.5,"1979-03-01"
1979,8,58,3.6,"1979-08-01"
1979,9,13.3125,5.02083333333333,"1979-09-01"
1979,10,24.2664473684211,30.8919365721997,"1979-10-01"
1979,11,39.7963430012609,8.25461247453682,"1979-11-01"
1979,12,12.6585674157303,8.44082397003745,"1979-12-01"
1980,1,32.5718562874251,18.2389068017811,"1980-01-01"
1980,2,19.5,8.35897435897436,"1980-02-01"
1980,3,7,3,"1980-03-01"
1980,8,55.5,21.25,"1980-08-01"
1980,9,11.9807692307692,21.5494505494506,"1980-09-01"
1980,10,17.2259414225941,3.62835890283589,"1980-10-01"
1980,11,5.89147670961349,17.742671511948,"1980-11-01"
1980,12,9.48881431767334,8.56239125031071,"1980-12-01"
1981,1,11.4079147640792,17.0185692541857,"1981-01-01"
1981,2,3.375,10.9666666666667,"1981-02-01"
1981,3,5,8,"1981-03-01"
1981,9,15.1245954692557,13.063430420712,"1981-09-01"
1981,10,6.89677419354839,24.0731393632722,"1981-10-01"
1981,11,12.6809369951535,15.4213391414724,"1981-11-01"
1981,12,5.29390681003581,8.99803485354097,"1981-12-01"
1982,1,5.90671641791045,20.2521873391662,"1982-01-01"
1982,2,0.9375,22.2,"1982-02-01"
1982,3,0.75,37.5,"1982-03-01"
1982,7,0.5,46.5,"1982-07-01"
1982,9,13.8205128205128,12.4769230769231,"1982-09-01"
1982,10,9.74553571428573,10.9506802721088,"1982-10-01"
1982,11,2.49103107344634,4.0282109227872,"1982-11-01"
1982,12,2.69831223628691,5.77768584765282,"1982-12-01"
1983,1,3.56004329004329,6.08774703557312,"1983-01-01"
1983,2,2.64864864864865,4.43243243243243,"1983-02-01"
1983,3,0,3.47826086956522,"1983-03-01"
1983,5,0,3.21739130434783,"1983-05-01"
1983,8,6.3,1.54782608695652,"1983-08-01"
1983,9,7.34340659340659,0.178996655518395,"1983-09-01"
1983,10,67.4372586872582,0.505302445302445,"1983-10-01"
1983,11,2.80636265805754,0,"1983-11-01"
1983,12,1399.86219262297,118.662355798421,"1983-12-01"
1984,1,248.465284974093,4.43024371521781,"1984-01-01"
1984,2,12.3540372670807,33.9601449275362,"1984-02-01"
1984,3,139,125.083333333333,"1984-03-01"
1984,8,140.381818181818,38.2363636363636,"1984-08-01"
1984,9,8.39930875576037,7.7078853046595,"1984-09-01"
1984,10,8.13168724279839,2.43041838134431,"1984-10-01"
1984,11,29.3084864987523,35.5837587928297,"1984-11-01"
1984,12,13.9698834196891,6.01156564309661,"1984-12-01"
1985,1,10.3292328042327,8.99212962962957,"1985-01-01"
1985,2,29.9236220472441,5.52347623213766,"1985-02-01"
1985,3,5.90909090909091,0.0505050505050505,"1985-03-01"
1985,4,9.5,0,"1985-04-01"
1985,8,2.2,3.29850746268657,"1985-08-01"
1985,9,40.6410256410256,3.5556831228473,"1985-09-01"
1985,10,26.4298245614035,3.93322859387274,"1985-10-01"
1985,11,7.06972789115646,1.13256802721086,"1985-11-01"
1985,12,6.41825267355448,2.14802695412042,"1985-12-01"
1986,1,9.62976721149085,0.778137109227048,"1986-01-01"
1986,2,21.3832364341085,1.82404240766074,"1986-02-01"
1986,3,28.5466666666667,15.9422222222222,"1986-03-01"
1986,9,19.8,1.41414141414141,"1986-09-01"
1986,10,7.56849315068492,4.21618467782851,"1986-10-01"
1986,11,29.5292795844625,16.9975374402532,"1986-11-01"
1986,12,4.62961471338432,13.9819940345306,"1986-12-01"
1987,1,3.34885620915034,7.47952977487291,"1987-01-01"
1987,2,4.25584795321637,9.19488304093567,"1987-02-01"
1987,3,1,2.3,"1987-03-01"
1987,9,11.2566666666667,18.1940476190476,"1987-09-01"
1987,10,5.18768768768769,29.3984805701224,"1987-10-01"
1987,11,6.36000000000003,25.7469776119403,"1987-11-01"
1987,12,8.84552892818362,16.2848825903058,"1987-12-01"
1988,1,4.48845923261392,9.10137743463765,"1988-01-01"
1988,2,4.34673366834171,6.53462434121829,"1988-02-01"
1988,3,9.75,6.875,"1988-03-01"
1988,4,8.5,6.25,"1988-04-01"
1988,6,7.25,5.625,"1988-06-01"
1988,8,0,0,"1988-08-01"
1988,9,1.34834956709957,1.64553571428571,"1988-09-01"
1988,10,5.1084465343086,0.261609195402299,"1988-10-01"
1988,11,4.56153305203937,0,"1988-11-01"
1988,12,19.2924218544784,0.942999737325964,"1988-12-01"
1989,1,73.0877876106198,6.81583897275724,"1989-01-01"
1989,2,5.35692541856925,22.1308622078969,"1989-02-01"
1989,3,1.75,0,"1989-03-01"
1989,8,6,10.5769230769231,"1989-08-01"
1989,9,5.46153846153846,42.7551775147929,"1989-09-01"
1989,10,22.7315680166147,28.0398793833373,"1989-10-01"
1989,11,31.2616897451334,4.2919581750365,"1989-11-01"
1989,12,9.46078123692368,2.39149710623596,"1989-12-01"
1990,1,16.2235528942115,24.6662092481703,"1990-01-01"
1990,2,38.6282051282051,19.3541666666667,"1990-02-01"
1990,3,11.52,17.925,"1990-03-01"
1990,8,18.5833333333333,11.6145833333333,"1990-08-01"
1990,9,6.02850877192983,5.69901315789474,"1990-09-01"
1990,10,80.0634602538409,2.78966119885458,"1990-10-01"
1990,11,34.6346938415597,3.83411558695496,"1990-11-01"
1990,12,8.2043812636576,5.16007865617918,"1990-12-01"
1991,1,10.5447776845638,6.51548786783686,"1991-01-01"
1991,2,9.07581967213114,7.5555428178379,"1991-02-01"
1991,3,83,8.02097902097902,"1991-03-01"
1991,8,2.5,8.14285714285714,"1991-08-01"
1991,9,6.89407407407408,5.93835125448029,"1991-09-01"
1991,10,3.81810575635877,2.25858271796865,"1991-10-01"
1991,11,16.1879210220672,0.194127734008329,"1991-11-01"
1991,12,25.7124202826632,0.148898641486105,"1991-12-01"
1992,1,17.102345819145,0.252792743745538,"1992-01-01"
1992,2,9.8952380952381,0.355149321266968,"1992-02-01"
1992,3,1.25,0.395927601809955,"1992-03-01"
1992,8,2.11111111111111,0.508295625942685,"1992-08-01"
1992,9,8.24712643678161,0.597285067873303,"1992-09-01"
1992,10,5.55368589743589,0.719032805429864,"1992-10-01"
1992,11,61.8465564738295,0.82781823791182,"1992-11-01"
1992,12,12.4150002570298,0.958890124544296,"1992-12-01"
1993,1,7.39436392914655,1.07789800424072,"1993-01-01"
1993,2,5.23320158102767,1.19188739649098,"1993-02-01"
1993,3,3,1.236802413273,"1993-03-01"
1993,8,3.18571428571429,1.34660633484163,"1993-08-01"
1993,9,16.8914728682171,1.46911501631064,"1993-09-01"
1993,10,7.93550531914894,1.60241166843169,"1993-10-01"
1993,11,85.6472752585519,1.7021404118835,"1993-11-01"
1993,12,28.1029696969698,1.84092965857672,"1993-12-01"
1994,1,6.03000000000002,1.97051657607352,"1994-01-01"
1994,2,7.82,2.56648648648649,"1994-02-01"
