"Year","Month","MeanLive","Date"
1973,8,49.030303030303,1973-08-01
1973,9,398.159418863964,1973-09-01
1973,10,754.646560669722,1973-10-01
1973,11,214.627327327327,1973-11-01
1973,12,12.5103341103341,1973-12-01
1974,1,1.83653846153846,1974-01-01
1974,7,4.86923076923077,1974-07-01
1974,8,14.9016883116883,1974-08-01
1974,9,51.4830381604696,1974-09-01
1974,10,187.443943314895,1974-10-01
1974,11,104.253767233923,1974-11-01
1974,12,40.0344648345114,1974-12-01
1975,1,6.20990815613458,1975-01-01
1975,2,0.652777777777778,1975-02-01
1975,3,0.383720930232558,1975-03-01
1975,5,1.42296511627907,1975-05-01
1975,7,2.5421511627907,1975-07-01
1975,8,12.3089931709118,1975-08-01
1975,9,108.684404889604,1975-09-01
1975,10,277.051680867228,1975-10-01
1975,11,22.5971069738463,1975-11-01
1975,12,9.56382889233451,1975-12-01
1976,1,6.79896907216495,1976-01-01
1976,2,1.12045454545455,1976-02-01
1976,8,18.2176282051282,1976-08-01
1976,9,188.53746331533,1976-09-01
1976,10,229.743897156623,1976-10-01
1976,11,47.0606607331747,1976-11-01
1976,12,21.8106055168125,1976-12-01
1977,1,13.0203407256045,1977-01-01
1977,2,6.38228648347211,1977-02-01
1977,3,0.0486486486486487,1977-03-01
1977,7,7.83333333333333,1977-07-01
1977,8,1012.63957307061,1977-08-01
1977,9,846.488227328227,1977-09-01
1977,10,549.264541900071,1977-10-01
1977,11,45.5602222182892,1977-11-01
1977,12,18.8508784645116,1977-12-01
1978,1,4.12442341304557,1978-01-01
1978,2,12.4395970695971,1978-02-01
1978,6,11.4,1978-06-01
1978,7,3.91538461538462,1978-07-01
1978,8,31.1902073732719,1978-08-01
1978,9,810.778041623648,1978-09-01
1978,10,335.053446887139,1978-10-01
1978,11,50.3654178525472,1978-11-01
1978,12,24.1163321562551,1978-12-01
1979,1,4.49700255652637,1979-01-01
1979,2,8.66904761904762,1979-02-01
1979,3,37.5,1979-03-01
1979,6,1.50909090909091,1979-06-01
1979,7,13.6382180481018,1979-07-01
1979,8,12.1302014915161,1979-08-01
1979,9,109.727713430035,1979-09-01
1979,10,176.309796701485,1979-10-01
1979,11,105.631587983815,1979-11-01
1979,12,42.281046332018,1979-12-01
1980,1,34.5120698437365,1980-01-01
1980,2,0.5,1980-02-01
1980,3,18,1980-03-01
1980,6,3.79439252336449,1980-06-01
1980,7,6.97041934048265,1980-07-01
1980,8,16.882109978629,1980-08-01
1980,9,581.02784798697,1980-09-01
1980,10,270.102813421728,1980-10-01
1980,11,101.041173725264,1980-11-01
1980,12,22.5039641860629,1980-12-01
1981,1,11.265608496363,1981-01-01
1981,2,13.5,1981-02-01
1981,3,0,1981-03-01
1981,6,5.33333333333333,1981-06-01
1981,7,10.7380952380952,1981-07-01
1981,8,17.926430976431,1981-08-01
1981,9,61.7201769448805,1981-09-01
1981,10,90.2263526905193,1981-10-01
1981,11,30.491237861864,1981-11-01
1981,12,12.8248879073829,1981-12-01
1982,1,6.62712267603572,1982-01-01
1982,2,1.875,1982-02-01
1982,3,1,1982-03-01
1982,7,3.42241379310345,1982-07-01
1982,8,9.60627400768246,1982-08-01
1982,9,333.318095447023,1982-09-01
1982,10,358.693126874183,1982-10-01
1982,11,66.1261732382763,1982-11-01
1982,12,23.7705634660547,1982-12-01
1983,1,10.9661924860579,1983-01-01
1983,2,3.40540540540541,1983-02-01
1983,3,1.5,1983-03-01
1983,5,816,1983-05-01
1983,7,1.48809523809524,1983-07-01
1983,8,13.6326291079812,1983-08-01
1983,9,191.832448824885,1983-09-01
1983,10,211.766310699724,1983-10-01
1983,11,31.6408350355257,1983-11-01
1983,12,20.0373471622418,1983-12-01
1984,1,19.7055287267273,1984-01-01
1984,2,8.70766045548654,1984-02-01
1984,3,3,1984-03-01
1984,4,5,1984-04-01
1984,5,11,1984-05-01
1984,6,29,1984-06-01
1984,7,9.96388888888889,1984-07-01
1984,8,17.6032920310982,1984-08-01
1984,9,501.454519764748,1984-09-01
1984,10,340.293325877066,1984-10-01
1984,11,116.771770543795,1984-11-01
1984,12,38.0204966038036,1984-12-01
1985,1,14.7285293166297,1985-01-01
1985,2,15.8945644149133,1985-02-01
1985,3,9.16363636363636,1985-03-01
1985,4,3.20428571428571,1985-04-01
1985,5,30,1985-05-01
1985,6,114,1985-06-01
1985,7,13.9333333333333,1985-07-01
1985,8,17.5059193659047,1985-08-01
1985,9,228.425595637287,1985-09-01
1985,10,215.886879569781,1985-10-01
1985,11,11.4191974699269,1985-11-01
1985,12,17.9506005134932,1985-12-01
1986,1,21.3864440822812,1986-01-01
1986,2,3.56725844163293,1986-02-01
1986,3,0.423076923076923,1986-03-01
1986,4,22,1986-04-01
1986,5,23,1986-05-01
1986,6,60.4952380952381,1986-06-01
1986,7,11.0960069444444,1986-07-01
1986,8,12.7476342298437,1986-08-01
1986,9,153.629477509887,1986-09-01
1986,10,236.903991053808,1986-10-01
1986,11,48.7783702719768,1986-11-01
1986,12,18.1008721563253,1986-12-01
1987,1,16.2589534477519,1987-01-01
1987,2,3.1843906888605,1987-02-01
1987,3,22,1987-03-01
1987,4,7,1987-04-01
1987,5,16.8333333333333,1987-05-01
1987,6,17.6,1987-06-01
1987,7,13.2107843137255,1987-07-01
1987,8,13.0205097932371,1987-08-01
1987,9,75.7865863588028,1987-09-01
1987,10,191.459897731049,1987-10-01
1987,11,130.331683212471,1987-11-01
1987,12,31.9470169076916,1987-12-01
1988,1,10.9624351447698,1988-01-01
1988,2,2.11526382142865,1988-02-01
1988,3,6,1988-03-01
1988,4,5.50515463917526,1988-04-01
1988,6,27,1988-06-01
1988,7,9.41428571428571,1988-07-01
1988,8,15.4141111111111,1988-08-01
1988,9,511.537499072596,1988-09-01
1988,10,289.708488967703,1988-10-01
1988,11,18.8475316681742,1988-11-01
1988,12,10.2904676726916,1988-12-01
1989,1,10.0217265731948,1989-01-01
1989,2,4.37281583538268,1989-02-01
1989,3,3.33333333333333,1989-03-01
1989,7,16.0384615384615,1989-07-01
1989,8,127.829928131046,1989-08-01
1989,9,89.5446933032631,1989-09-01
1989,10,213.660298410299,1989-10-01
1989,11,105.178156483053,1989-11-01
1989,12,11.4074248793382,1989-12-01
1990,1,4.049204277662,1990-01-01
1990,2,0.119352869352869,1990-02-01
1990,3,1.28571428571429,1990-03-01
1990,7,56.7166666666667,1990-07-01
1990,8,47.8108911564626,1990-08-01
1990,9,70.6827128721247,1990-09-01
1990,10,79.922940290294,1990-10-01
1990,11,19.9549161917846,1990-11-01
1990,12,4.76590947680108,1990-12-01
1991,1,1.27674842528136,1991-01-01
1991,2,0.649934065934066,1991-02-01
1991,3,0.8,1991-03-01
1991,6,4.66412213740458,1991-06-01
1991,7,8.624128775307,1991-07-01
1991,8,9.79411111111111,1991-08-01
1991,9,24.399668815607,1991-09-01
1991,10,72.8561479658775,1991-10-01
1991,11,35.0851820550966,1991-11-01
1991,12,6.59528239744386,1991-12-01
1992,1,3.82377699386967,1992-01-01
1992,2,2.1817158931083,1992-02-01
1992,3,0,1992-03-01
1992,5,4,1992-05-01
1992,6,1,1992-06-01
1992,7,49.2727272727273,1992-07-01
1992,8,33.7154151604776,1992-08-01
1992,9,77.6237919686888,1992-09-01
1992,10,156.360060824662,1992-10-01
1992,11,40.8620375517445,1992-11-01
1992,12,11.4944558718459,1992-12-01
1993,1,3.92619847635048,1993-01-01
1993,2,2.70144130154487,1993-02-01
1993,3,0.166666666666667,1993-03-01
1993,7,0.954744525547445,1993-07-01
1993,8,16.5551756149322,1993-08-01
1993,9,36.4958065360402,1993-09-01
1993,10,60.6950643406164,1993-10-01
1993,11,47.6386887128674,1993-11-01
1993,12,17.952136102207,1993-12-01
1994,1,3.67280824781533,1994-01-01
1994,2,0.02,1994-02-01
1994,3,0,1994-03-01
1994,4,0.5,1994-04-01
1994,6,1,1994-06-01
1994,7,162.5625,1994-07-01
1994,8,33.1839410519335,1994-08-01
1994,9,73.4099287067121,1994-09-01
1994,10,113.35316128173,1994-10-01
1994,11,55.182700574671,1994-11-01
1994,12,20.0949811417867,1994-12-01
1995,1,7.62088205198264,1995-01-01
1995,2,6.51851851851852,1995-02-01
1995,3,0,1995-03-01
1995,7,0,1995-07-01
1995,8,43.0401817007932,1995-08-01
1995,9,42.9439313603724,1995-09-01
1995,10,48.7579099309895,1995-10-01
1995,11,25.286023456867,1995-11-01
1995,12,9.46384795746734,1995-12-01
1996,1,4.12964413118687,1996-01-01
1996,2,0.496577380952381,1996-02-01
1996,3,0,1996-03-01
1996,7,15.1746031746032,1996-07-01
1996,8,39.2477935793197,1996-08-01
1996,9,123.949941379725,1996-09-01
1996,10,409.835495545027,1996-10-01
1996,11,89.8613825461407,1996-11-01
1996,12,20.6752909463955,1996-12-01
1997,1,12.0935070744249,1997-01-01
1997,2,3.3811320754717,1997-02-01
1997,7,5,1997-07-01
1997,8,16.1558909905608,1997-08-01
1997,9,71.3998168075063,1997-09-01
1997,10,92.1522143756369,1997-10-01
1997,11,31.5057926224695,1997-11-01
1997,12,14.8904219218711,1997-12-01
1998,1,6.89934971534562,1998-01-01
1998,2,1.56970443349754,1998-02-01
1998,3,0.63953488372093,1998-03-01
1998,4,1,1998-04-01
1998,7,0.318394648829431,1998-07-01
1998,8,45.4652236842105,1998-08-01
1998,9,60.3288301183113,1998-09-01
1998,10,111.946528569006,1998-10-01
1998,11,60.8852262945241,1998-11-01
1998,12,23.8206062937802,1998-12-01
