"SurveyID","SurveyDate","WRIA","StreamCatalogCode","StreamName","WaterTempFarenheit","SpeciesAbbr","Species","RunYear","LiveTotal","DeadTotal","NewReddCount","PreviousReddCount","CombinedReddCount","Month"
119800,"1991-12-26",21,"21.0398C","Unnamed",NA,"SOCK","Sockeye Salmon",1991,185,29,NA,NA,NA,1970-01-13
120689,"1992-01-08",21,"21.0398B","Unnamed",NA,"SOCK","Sockeye Salmon",1992,159,44,NA,NA,NA,1970-01-02
120690,"1992-01-08",21,"21.0398C","Unnamed",NA,"SOCK","Sockeye Salmon",1992,105,32,NA,NA,NA,1970-01-02
121448,"1992-02-18",21,"21.0479","Inner Creek Slough (LB)",NA,"SOCK","Sockeye Salmon",1992,1,0,NA,NA,NA,1970-01-03
125857,"1992-11-27",21,"21.0515","Fletcher Creek (LB)",NA,"SOCK","Sockeye Salmon",1992,0,0,NA,NA,NA,1970-01-12
127323,"1992-12-11",21,"21.0462","Willaby Creek (LS)",NA,"SOCK","Sockeye Salmon",1992,0,0,NA,NA,NA,1970-01-13
128760,"1992-12-29",21,"21.0398B","Unnamed",NA,"SOCK","Sockeye Salmon",1992,255,70,NA,NA,NA,1970-01-13
128761,"1992-12-29",21,"21.0398C","Unnamed",NA,"SOCK","Sockeye Salmon",1992,270,68,NA,NA,NA,1970-01-13
128762,"1992-12-29",21,"21.0398I","Unnamed",NA,"SOCK","Sockeye Salmon",1992,0,0,NA,NA,NA,1970-01-13
11610,"1973-08-30",3,"03.0673","Sauk R. cont. as N. Fork Sauk R. at mi. 39.71",NA,"SOCK","Sockeye Salmon",1973,2,NA,NA,NA,NA,1970-01-09
11640,"1973-09-07",8,"08.0299","Cedar River",NA,"SOCK","Sockeye Salmon",1973,1433,17,NA,NA,NA,1970-01-10
11641,"1973-09-07",8,"08.0299","Cedar River",NA,"SOCK","Sockeye Salmon",1973,3250,36,NA,NA,NA,1970-01-10
11642,"1973-09-07",8,"08.0299","Cedar River",NA,"SOCK","Sockeye Salmon",1973,5280,15,NA,NA,NA,1970-01-10
11739,"1973-09-26",5,"05.0135","North Fork Stillaguamish River (RB)",NA,"SOCK","Sockeye Salmon",1973,2,NA,NA,NA,NA,1970-01-10
11781,"1973-10-01",16,"16.0442","Dosewallips River 16.0442",NA,"SOCK","Sockeye Salmon",1973,1,NA,NA,NA,NA,1970-01-11
